fold,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft,activation,alpha,hidden_layer_sizes,learning_rate_init,nb_neurones,global_mean_score,global_std_score
5,0.6339165924902094,0.2282088744535494,0.4949831194734646,0.4939108308562996,145,145,85,115,0,60,30,relu,0.00015347603633119835,"(200, 200, 200, 200, 200, 200, 200, 200, 200, 200)",0.01739616742284698,2000,0.46275485431838076,0.1696245984850991
1,0.5559964756872718,0.6451308466671454,0.6330114754153868,0.6318842226348049,146,146,86,118,0,60,28,tanh,0.0011040511903162248,"(556, 556, 556, 556, 556, 555, 555, 555, 555)",0.0008696007095406228,5000,0.6165057551011522,0.04078277752975262
2,0.5754156667184035,0.6630224713129923,0.7335178602820784,0.7007302044659667,145,145,97,123,0,48,22,relu,7.602635868455898e-05,"(500, 500, 500, 500, 500, 500, 500, 500, 500, 500)",0.0011178209200698721,5000,0.6681715506948602,0.06821625696462202
3,0.599453392807744,0.581359361861957,0.6614201839766791,0.6012637526019766,145,145,89,119,0,56,26,relu,1.5519027787994336e-05,"(500, 500, 500, 500, 500, 500, 500, 500, 500, 500)",0.00026539376439360527,5000,0.6108741728120892,0.03487509953436445
4,0.5691242336698984,0.576407215660286,0.6841208274450423,0.6205877619435993,145,145,92,122,0,53,23,relu,0.0020305586522289124,"(5000,)",6.0390962475457836e-05,5000,0.6125600096797065,0.05284911414785465
5,0.6182671870873937,0.190444266551736,0.5608306960424453,0.4958611845807931,145,145,85,115,0,60,30,relu,1.4942218644908236e-05,"(1000, 1000, 1000, 1000, 1000)",0.03419606146827048,5000,0.46635083356559204,0.19061332361565386
1,0.5902927843212328,0.7114811051832335,0.7201424767825331,0.709468932974286,146,146,86,118,0,60,28,relu,0.005043830321793336,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,500,0.6828463248153214,0.06187588308179686
2,0.5962494962126111,0.6766304195686959,0.7238158392884595,0.7171029360725852,145,145,97,123,0,48,22,relu,0.004053638704742309,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",5.054765477258722e-05,500,0.6784496727855879,0.05862974937917875
3,0.6140886181007134,0.6345959001245922,0.6820662476520376,0.6558345689566238,145,145,89,119,0,56,26,relu,0.004053638704742309,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",5.054765477258722e-05,500,0.6466463337084918,0.029121651543712063
4,0.5902901379872478,0.6353948367991747,0.7448202397794019,0.6813195225125226,145,145,92,122,0,53,23,relu,0.005043830321793336,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,500,0.6629561842695868,0.06602756478075496
5,0.6655393625891177,0.2867913108008453,0.5578865185660791,0.5201412887073489,145,145,85,115,0,60,30,relu,0.005043830321793336,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,500,0.5075896201658477,0.15956956364114844
1,0.5520205329687895,0.6593262847747423,0.6320580944342558,0.649921318704326,146,146,86,118,0,60,28,relu,0.0020305586522289124,"(10000,)",6.0390962475457836e-05,10000,0.6233315577205284,0.04886733898710533
2,0.5882388178315884,0.4769129134506306,0.7733426404187276,0.647989512390258,145,145,97,123,0,48,22,relu,1.97778285124627e-05,"(1429, 1429, 1429, 1429, 1428, 1428, 1428)",0.004020759548749849,10000,0.6216209710228011,0.12351727951468479
3,0.5941694494726327,0.5591829671520328,0.647381878971253,0.6180842309190404,145,145,89,119,0,56,26,relu,0.0006071989493441295,"(1429, 1429, 1429, 1429, 1428, 1428, 1428)",1.7073967431528103e-05,10000,0.6047046316287397,0.03734333103199424
4,0.5687498235096501,0.5748113116335665,0.6813830090999475,0.6183934746851236,145,145,92,122,0,53,23,relu,0.0020305586522289124,"(10000,)",6.0390962475457836e-05,10000,0.610834404732072,0.0519712110366896
5,0.6196241897794545,0.2554353363156343,0.5304027925522058,0.5131738836381097,145,145,85,115,0,60,30,tanh,0.0003666421832063722,"(5000, 5000)",0.004467752817973905,10000,0.4796590505713511,0.15659362014876313
1,0.5807296031158717,0.6883723177374745,0.6885181264706317,0.6916879328371743,146,146,86,118,0,60,28,relu,0.002792896510799227,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",1.048912959181851e-05,1000,0.6623269950402881,0.05441976735581027
2,0.5918118842771853,0.6743218813171343,0.7252700724226576,0.7169281699928312,145,145,97,123,0,48,22,relu,0.0005421044225547077,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",2.059802236544964e-05,1000,0.6770830020024521,0.0610694098913102
3,0.6124313139417568,0.6056665909234114,0.6851167244718749,0.651975514266671,145,145,89,119,0,56,26,relu,0.0005421044225547077,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",2.059802236544964e-05,1000,0.6387975359009286,0.03702235144333958
4,0.5800081491936895,0.5860859537953111,0.7226921158891052,0.6493904043820512,145,145,92,122,0,53,23,relu,4.809461967501571e-05,"(143, 143, 143, 143, 143, 143, 142)",1.1299516083106613e-05,1000,0.6345441558150393,0.06661543195316762
5,0.6453983486651963,0.292363355016257,0.5580527313094867,0.533374921722267,145,145,85,115,0,60,30,relu,0.002792896510799227,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",1.048912959181851e-05,1000,0.5072973391783018,0.15113421905798072
