fold,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft,activation,alpha,hidden_layer_sizes,learning_rate_init,nb_neurones,global_mean_score,global_std_score
4,0.5889091154351349,0.5460567238475296,0.5823764659210366,0.5535521184890724,181,181,119,157,0,62,24,tanh,0.0003807158379249392,"(1250, 1250, 1250, 1250)",0.002463768595899745,5000,0.5677236059231934,0.02108567408117916
5,0.593652858177048,0.5923808641345956,0.7918300159859409,0.7228787366230605,181,181,126,157,0,55,24,relu,0.03699867920489089,"(2500, 2500)",0.00025137010744766443,5000,0.6751856187301613,0.09896930051376752
1,0.6026290842903976,0.5139685047187916,0.7213601282403408,0.5843953723259824,182,182,104,143,0,78,39,relu,1.5519027787994336e-05,"(1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000)",0.00026539376439360527,10000,0.6055882723938781,0.08613013456874535
2,0.6082955823076256,0.5856231630205941,0.7334782102558203,0.7070663228866143,182,182,126,155,0,56,27,relu,0.00012194715233377648,"(2000, 2000, 2000, 2000, 2000)",0.0006746222278126138,10000,0.6586158196176635,0.07259908860564485
3,0.5771469811072131,0.5245507573930706,0.6411207944963626,0.528701340034361,182,182,114,152,0,68,30,relu,0.00012194715233377648,"(2000, 2000, 2000, 2000, 2000)",0.0006746222278126138,10000,0.5678799682577518,0.05435218971022587
4,0.5795758740376957,0.5026190057609521,0.5782458201197773,0.5277567128183758,181,181,119,157,0,62,24,tanh,0.0007606809457649334,"(5000, 5000)",0.0034207303670092245,10000,0.5470493531842002,0.03819884750674643
5,0.5990204749390865,0.583627421505378,0.7562888541759416,0.688433941688969,181,181,126,157,0,55,24,relu,0.00012194715233377648,"(2000, 2000, 2000, 2000, 2000)",0.0006746222278126138,10000,0.6568426730773438,0.08081136646098139
1,0.5979868959021234,0.6395095553322013,0.7013936796279334,0.6536612952463906,182,182,104,143,0,78,39,tanh,0.0018760068220300646,"(4, 3, 3)",0.0035101887722336646,10,0.6481378565271622,0.04264683459355792
2,0.6044601544088364,0.5691548628528972,0.7032602416549163,0.68949985318281,182,182,126,155,0,56,27,tanh,0.0018760068220300646,"(4, 3, 3)",0.0035101887722336646,10,0.6415937780248651,0.06512564064387018
3,0.6018364389065823,0.6412352655134927,0.7433105484145384,0.6437456844122846,182,182,114,152,0,68,30,tanh,0.0018760068220300646,"(4, 3, 3)",0.0035101887722336646,10,0.6575319843117245,0.0603202590236004
4,0.5917156914060206,0.5818842527644101,0.6362028607318198,0.6077901542296866,181,181,119,157,0,62,24,tanh,0.0007606809457649334,"(5, 5)",0.0034207303670092245,10,0.6043982397829843,0.023740019953090462
5,0.5961954861952999,0.6245529903714854,0.772506621412302,0.7152834804033876,181,181,126,157,0,55,24,tanh,0.0018760068220300646,"(4, 3, 3)",0.0035101887722336646,10,0.6771346445956188,0.08137797687111728
1,0.6129983211113953,0.6009108303490922,0.7107591022455895,0.6513503363637339,182,182,104,143,0,78,39,relu,0.005043830321793336,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,500,0.6440046475174527,0.049425316475184035
2,0.6206168593015572,0.5722737773914655,0.7078008298959875,0.6972864847447038,182,182,126,155,0,56,27,relu,0.005043830321793336,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,500,0.6494944878334284,0.06449976755583368
3,0.5987472447450672,0.6528965207467898,0.7359920085723777,0.6459425992523045,182,182,114,152,0,68,30,relu,0.005043830321793336,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,500,0.6583945933291349,0.05705098890218492
4,0.6068853938260764,0.6097520032667176,0.6581563814848224,0.6188849386372377,181,181,119,157,0,62,24,relu,0.005043830321793336,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,500,0.6234196793037136,0.023716311657025663
5,0.6097004139178589,0.6121854976158081,0.7786881057602669,0.7168289033052393,181,181,126,157,0,55,24,relu,0.005043830321793336,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,500,0.6793507301497934,0.08293544209966103
1,0.6102803853655699,0.5437065150635927,0.726843718337391,0.6385184570814315,182,182,104,143,0,78,39,relu,0.00012194715233377648,"(20, 20, 20, 20, 20)",0.0006746222278126138,100,0.6298372689619962,0.07590914022851615
2,0.6025323625209307,0.5386075984914747,0.7117716548193072,0.6864080875417288,182,182,126,155,0,56,27,relu,0.00039759772143180944,"(34, 33, 33)",0.00033872555658521483,100,0.6348299258433603,0.07933516517402796
3,0.5874313994635243,0.640193564697203,0.7246042673898481,0.6310352936988852,182,182,114,152,0,68,30,tanh,0.0876197110102369,"(15, 15, 14, 14, 14, 14, 14)",0.00488137519160367,100,0.6458161313123651,0.05734815810911169
4,0.586780474363659,0.5909102450529837,0.6518574627624858,0.6132947549672998,181,181,119,157,0,62,24,tanh,0.0002023778954048506,"(15, 15, 14, 14, 14, 14, 14)",0.0012115379992469583,100,0.6107107342866072,0.029801829591579475
5,0.6063861277839308,0.6139242354879398,0.7960122809927068,0.7315185935849191,181,181,126,157,0,55,24,relu,0.00010022396791143334,"(17, 17, 17, 17, 16, 16)",0.00721744845244478,100,0.6869603094623742,0.09256392391810064
