,,,,,global_mean_score,global_std_score,best_score_innerCV,best_score_innerCV,best_score_innerCV,r2_noAD,r2_strict,r2_soft
,,,,,mean,mean,mean,std,count,mean,mean,mean
nb_neurones,activation,alpha,hidden_layer_sizes,learning_rate_init,,,,,,,,
2000,relu,0.002792896510799227,"(200, 200, 200, 200, 200, 200, 200, 200, 200, 200)",1.048912959181851e-05,0.630959585049498,0.07408206030085483,0.5610462770462479,,1,0.5894298893818505,0.7293548328153071,0.6440073409545866
10,tanh,0.0007606809457649334,"(5, 5)",0.0034207303670092245,0.6291517971468252,0.04457207735420173,0.5659752056609454,,1,0.6304528819221077,0.6652250417295533,0.6549540592746947
50,tanh,1.007198483880919e-05,"(10, 10, 10, 10, 10)",0.002950706670790532,0.6259468319673476,0.02370907374813504,0.6040038074145887,,1,0.6093453026762239,0.6548734373782238,0.6355647804003539
100,tanh,0.0014071153761525883,"(20, 20, 20, 20, 20)",0.0012273630375458189,0.6243713951434793,0.02622046818283723,0.6058387643477806,,1,0.5987143034294719,0.6529634984289352,0.6399690143677292
10000,relu,1.97778285124627e-05,"(1429, 1429, 1429, 1429, 1428, 1428, 1428)",0.004020759548749849,0.6216209710228011,0.12351727951468479,0.5882388178315884,,1,0.4769129134506306,0.7733426404187276,0.647989512390258
500,relu,0.005043830321793336,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",2.8437674894443664e-05,0.6177973764169186,0.09582433716790008,0.615374094965866,0.04344439616953051,3,0.5445557509277511,0.6742830783760047,0.6369765813980525
10000,relu,0.0020305586522289124,"(10000,)",6.0390962475457836e-05,0.6170829812263001,0.05041927501189747,0.5603851782392197,0.011829394785882526,2,0.6170687982041544,0.6567205517671016,0.6341573966947248
5000,tanh,0.0011040511903162248,"(556, 556, 556, 556, 556, 555, 555, 555, 555)",0.0008696007095406228,0.6165057551011522,0.04078277752975262,0.5559964756872718,,1,0.6451308466671454,0.6330114754153868,0.6318842226348049
5000,relu,0.0020305586522289124,"(5000,)",6.0390962475457836e-05,0.6125600096797065,0.05284911414785465,0.5691242336698984,,1,0.576407215660286,0.6841208274450423,0.6205877619435993
5000,relu,1.5519027787994336e-05,"(500, 500, 500, 500, 500, 500, 500, 500, 500, 500)",0.00026539376439360527,0.6108741728120892,0.03487509953436445,0.599453392807744,,1,0.581359361861957,0.6614201839766791,0.6012637526019766
2000,relu,0.04239491473869766,"(2000,)",8.160948743089913e-05,0.6087813553863078,0.051144756105725,0.5681761143342988,,1,0.5724846610476193,0.6782498082885269,0.6162148378747864
10000,relu,0.0006071989493441295,"(1429, 1429, 1429, 1429, 1428, 1428, 1428)",1.7073967431528103e-05,0.6047046316287397,0.03734333103199424,0.5941694494726327,,1,0.5591829671520328,0.647381878971253,0.6180842309190404
1000,relu,0.002792896510799227,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",1.048912959181851e-05,0.584812167109295,0.1027769932068955,0.6130639758905341,0.045727708508754725,2,0.49036783637686576,0.6232854288900592,0.6125314272797207
200,relu,0.0014648457497911016,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",0.00010758866306767925,0.5046447215462286,0.1663122917391523,0.634631931454436,,1,0.2622301691104117,0.583195486447061,0.5385212991730062
10,tanh,0.0011619873314872927,"(4, 3, 3)",0.015161591075671724,0.4815520088790936,0.17109156842197681,0.6429039075423436,,1,0.24020759238337,0.5345099483343194,0.5085865872563413
10000,tanh,0.0003666421832063722,"(5000, 5000)",0.004467752817973905,0.4796590505713511,0.15659362014876313,0.6196241897794545,,1,0.2554353363156343,0.5304027925522058,0.5131738836381097
100,tanh,6.849752356701299e-05,"(17, 17, 17, 17, 16, 16)",0.000272011412203244,0.47057182510661644,0.17139426702568544,0.6384200309996404,,1,0.2328403856513518,0.5278393642010415,0.483187519574432
50,relu,1.97778285124627e-05,"(8, 7, 7, 7, 7, 7, 7)",0.004020759548749849,0.4701784255113337,0.16250594256078454,0.6348886647004354,,1,0.2462087036405845,0.5092103408099966,0.4904059928943184
5000,relu,1.4942218644908236e-05,"(1000, 1000, 1000, 1000, 1000)",0.03419606146827048,0.46635083356559204,0.19061332361565386,0.6182671870873937,,1,0.190444266551736,0.5608306960424453,0.4958611845807931
2000,relu,0.00015347603633119835,"(200, 200, 200, 200, 200, 200, 200, 200, 200, 200)",0.01739616742284698,0.46275485431838076,0.1696245984850991,0.6339165924902094,,1,0.2282088744535494,0.4949831194734646,0.4939108308562996
